smk_id,smk_latitude,smk_longitude,wof_id,wof_parentid,wof_name,wof_placetype
1062,56.36729500000001,9.209052,1159297825,85682597,Hoje-Taastrup,localadmin
1062,56.36729500000001,9.209052,1394014051,85682597,Viborg,localadmin
1063,55.9516808,10.5321658,85633121,102191581,Denmark,country
1063,55.9516808,10.5321658,85682597,85633121,Central Jutland,region
1063,55.9516808,10.5321658,1159297735,85682597,Samso,localadmin
1059,54.96263308349215,10.514513461901851,1394014043,85682575,Svendborg,localadmin
1059,54.96263308349215,10.514513461901851,85633121,102191581,Denmark,country
1059,54.96263308349215,10.514513461901851,1159297853,85682575,Gribskov,localadmin
1098,54.890324558095344,10.413009576782239,85633121,102191581,Denmark,country
1098,54.890324558095344,10.413009576782239,1394014069,85682575,Aero,localadmin
1098,54.890324558095344,10.413009576782239,1159297837,85682575,Langeland,localadmin
1100,54.88828392206436,10.413524560913139,101818157,1394014069,Ærøskøbing,locality
1100,54.88828392206436,10.413524560913139,85682575,85633121,Southern,region
1100,54.88828392206436,10.413524560913139,85633121,102191581,Denmark,country
1100,54.88828392206436,10.413524560913139,1394014069,85682575,Aero,localadmin
1100,54.88828392206436,10.413524560913139,1159297837,85682575,Langeland,localadmin
1102,54.8538353844714,10.521983929060008,101818159,1394014069,Marstal,locality
1102,54.8538353844714,10.521983929060008,85682575,85633121,Southern,region
1102,54.8538353844714,10.521983929060008,85633121,102191581,Denmark,country
1102,54.8538353844714,10.521983929060008,1394014069,85682575,Aero,localadmin
1102,54.8538353844714,10.521983929060008,1159297837,85682575,Langeland,localadmin
1089,55.7692887949354,10.551809100000016,85633121,102191581,Denmark,country
1089,55.7692887949354,10.551809100000016,1159297735,85682597,Samso,localadmin
1079,55.7702340353294,10.551766184655778,85633121,102191581,Denmark,country
1079,55.7702340353294,10.551766184655778,85682597,85633121,Central Jutland,region
1079,55.7702340353294,10.551766184655778,1159297735,85682597,Samso,localadmin
1097,54.885556621709036,10.415670328125012,85682575,85633121,Southern,region
1097,54.885556621709036,10.415670328125012,101818157,1394014069,Ærøskøbing,locality
1097,54.885556621709036,10.415670328125012,85633121,102191581,Denmark,country
1097,54.885556621709036,10.415670328125012,1159297837,85682575,Langeland,localadmin
1097,54.885556621709036,10.415670328125012,1394014069,85682575,Aero,localadmin
1069,55.963662,10.552885,85682597,85633121,Central Jutland,region
1069,55.963662,10.552885,85633121,102191581,Denmark,country
1069,55.963662,10.552885,1159297735,85682597,Samso,localadmin
1078,55.86192033240956,10.63678308928571,85633121,102191581,Denmark,country
1078,55.86192033240956,10.63678308928571,85682597,85633121,Central Jutland,region
1078,55.86192033240956,10.63678308928571,1159297735,85682597,Samso,localadmin
1085,55.817074117146774,10.575883542761249,85633121,102191581,Denmark,country
1085,55.817074117146774,10.575883542761249,85682597,85633121,Central Jutland,region
1085,55.817074117146774,10.575883542761249,1159297735,85682597,Samso,localadmin
1082,55.80043823503189,10.535500203833026,85633121,102191581,Denmark,country
1082,55.80043823503189,10.535500203833026,85682597,85633121,Central Jutland,region
1082,55.80043823503189,10.535500203833026,1159297735,85682597,Samso,localadmin
1099,54.88949124987658,10.413782052978528,101818157,1394014069,Ærøskøbing,locality
1099,54.88949124987658,10.413782052978528,1394014069,85682575,Aero,localadmin
1099,54.88949124987658,10.413782052978528,1159297837,85682575,Langeland,localadmin
1099,54.88949124987658,10.413782052978528,85633121,102191581,Denmark,country
1072,55.96531911024456,10.551618997344958,85633121,102191581,Denmark,country
1072,55.96531911024456,10.551618997344958,85682597,85633121,Central Jutland,region
1072,55.96531911024456,10.551618997344958,1159297735,85682597,Samso,localadmin
1075,55.96447347513048,10.55258459259032,85633121,102191581,Denmark,country
