smk_id,smk_latitude,smk_longitude,wof_id,wof_parentid,wof_name,wof_placetype
934,55.86962969832965,10.004735276196278,1159297859,85682597,Struer,localadmin
904,54.8395179875637,11.02255714606323,1159297799,85682589,Holstebro,localadmin
904,54.8395179875637,11.02255714606323,85633121,102191581,Denmark,country
904,54.8395179875637,11.02255714606323,1394013983,85682589,Lolland,localadmin
924,55.64355955953972,10.180157370947258,85633121,102191581,Denmark,country
924,55.64355955953972,10.180157370947258,1394014053,85682575,Nordfyns,localadmin
924,55.64355955953972,10.180157370947258,1159297789,85682575,Middelfart,localadmin
926,55.64282881252056,10.182560630224602,85633121,102191581,Denmark,country
926,55.64282881252056,10.182560630224602,1159297789,85682575,Middelfart,localadmin
926,55.64282881252056,10.182560630224602,1394014053,85682575,Nordfyns,localadmin
917,55.48240406216493,9.696421846904979,1394014063,85682575,Middelfart,localadmin
917,55.48240406216493,9.696421846904979,85682575,85633121,Southern,region
917,55.48240406216493,9.696421846904979,1159297791,85682575,Ishoj,localadmin
917,55.48240406216493,9.696421846904979,85633121,102191581,Denmark,country
902,55.03585318782667,11.361983770283523,85633121,102191581,Denmark,country
902,55.03585318782667,11.361983770283523,1394013983,85682589,Lolland,localadmin
902,55.03585318782667,11.361983770283523,1159297799,85682589,Holstebro,localadmin
901,55.034569302066835,11.358951888584702,85633121,102191581,Denmark,country
901,55.034569302066835,11.358951888584702,1394013983,85682589,Lolland,localadmin
901,55.034569302066835,11.358951888584702,1159297799,85682589,Holstebro,localadmin
905,54.8515053,11.0557812,85633121,102191581,Denmark,country
905,54.8515053,11.0557812,1159297799,85682589,Holstebro,localadmin
905,54.8515053,11.0557812,1394013983,85682589,Lolland,localadmin
910,55.1456022,10.1180855,1394014055,85682575,Faaborg-Midtfyn,localadmin
910,55.1456022,10.1180855,1159297885,85682575,Rebild,localadmin
910,55.1456022,10.1180855,85633121,102191581,Denmark,country
919,55.487971822009904,9.696071805078933,85682575,85633121,Southern,region
919,55.487971822009904,9.696071805078933,1159297791,85682575,Ishoj,localadmin
919,55.487971822009904,9.696071805078933,1394014063,85682575,Middelfart,localadmin
919,55.487971822009904,9.696071805078933,85633121,102191581,Denmark,country
950,55.79856193983312,11.554341959663379,85682589,85633121,Zealand,region
950,55.79856193983312,11.554341959663379,85633121,102191581,Denmark,country
950,55.79856193983312,11.554341959663379,1159297935,85682589,,localadmin
950,55.79856193983312,11.554341959663379,1394014017,85682589,Odsherred,localadmin
944,55.79898338496094,11.554379510589587,85682589,85633121,Zealand,region
944,55.79898338496094,11.554379510589587,1159297935,85682589,,localadmin
944,55.79898338496094,11.554379510589587,85633121,102191581,Denmark,country
944,55.79898338496094,11.554379510589587,1394014017,85682589,Odsherred,localadmin
940,55.79812610884694,11.554422425933826,85682589,85633121,Zealand,region
940,55.79812610884694,11.554422425933826,85633121,102191581,Denmark,country
940,55.79812610884694,11.554422425933826,1394014017,85682589,Odsherred,localadmin
940,55.79812610884694,11.554422425933826,1159297935,85682589,,localadmin
956,55.79812542349646,11.554154205032336,85682589,85633121,Zealand,region
956,55.79812542349646,11.554154205032336,1394014017,85682589,Odsherred,localadmin
956,55.79812542349646,11.554154205032336,85633121,102191581,Denmark,country
956,55.79812542349646,11.554154205032336,1159297935,85682589,,localadmin
942,55.79920052958412,11.553767966934192,85682589,85633121,Zealand,region
942,55.79920052958412,11.553767966934192,85633121,102191581,Denmark,country
942,55.79920052958412,11.553767966934192,1159297935,85682589,,localadmin
942,55.79920052958412,11.553767966934192,1394014017,85682589,Odsherred,localadmin
957,55.79911210723504,11.554744291015613,85682589,85633121,Zealand,region
957,55.79911210723504,11.554744291015613,1159297935,85682589,,localadmin
957,55.79911210723504,11.554744291015613,85633121,102191581,Denmark,country
957,55.79911210723504,11.554744291015613,1394014017,85682589,Odsherred,localadmin
948,55.79824663165483,11.553666042991626,85682589,85633121,Zealand,region
948,55.79824663165483,11.553666042991626,85633121,102191581,Denmark,country
948,55.79824663165483,11.553666042991626,1159297935,85682589,,localadmin
948,55.79824663165483,11.553666042991626,1394014017,85682589,Odsherred,localadmin
945,55.798663253963525,11.554669189163196,85682589,85633121,Zealand,region
945,55.798663253963525,11.554669189163196,1159297935,85682589,,localadmin
945,55.798663253963525,11.554669189163196,85633121,102191581,Denmark,country
945,55.798663253963525,11.554669189163196,1394014017,85682589,Odsherred,localadmin
963,55.00013186767407,12.521597841876616,85682589,85633121,Zealand,region
963,55.00013186767407,12.521597841876616,85633121,102191581,Denmark,country
963,55.00013186767407,12.521597841876616,1394013993,85682589,Vordingborg,localadmin
963,55.00013186767407,12.521597841876616,1159297907,85682589,Jammerbugt,localadmin
947,55.7990232911538,11.553982543655383,85682589,85633121,Zealand,region
947,55.7990232911538,11.553982543655383,85633121,102191581,Denmark,country
947,55.7990232911538,11.553982543655383,1394014017,85682589,Odsherred,localadmin
947,55.7990232911538,11.553982543655383,1159297935,85682589,,localadmin
961,55.798349579346585,11.553027677246082,85682589,85633121,Zealand,region
961,55.798349579346585,11.553027677246082,85633121,102191581,Denmark,country
961,55.798349579346585,11.553027677246082,1159297935,85682589,,localadmin
961,55.798349579346585,11.553027677246082,1394014017,85682589,Odsherred,localadmin
959,55.798922565363135,11.554164933868396,85682589,85633121,Zealand,region
959,55.798922565363135,11.554164933868396,85633121,102191581,Denmark,country
959,55.798922565363135,11.554164933868396,1159297935,85682589,,localadmin
959,55.798922565363135,11.554164933868396,1394014017,85682589,Odsherred,localadmin
954,55.79886061135257,11.55505542726134,85682589,85633121,Zealand,region
954,55.79886061135257,11.55505542726134,85633121,102191581,Denmark,country
954,55.79886061135257,11.55505542726134,1159297935,85682589,,localadmin
954,55.79886061135257,11.55505542726134,1394014017,85682589,Odsherred,localadmin
941,55.79917359537282,11.553478288360584,85682589,85633121,Zealand,region
941,55.79917359537282,11.553478288360584,85633121,102191581,Denmark,country
941,55.79917359537282,11.553478288360584,1394014017,85682589,Odsherred,localadmin
941,55.79917359537282,11.553478288360584,1159297935,85682589,,localadmin
953,55.799089934684744,11.553263711639392,85682589,85633121,Zealand,region
953,55.799089934684744,11.553263711639392,85633121,102191581,Denmark,country
